Observation id	#4 Dyad Scoring							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/4.avi							
								
Observation date	2021-04-16 20:02:55							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1310.114	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1310.814	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1312.417	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1317.722	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1324.731	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1335.036	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1339.142	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1353.658	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1356.359	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1368.174	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1369.473	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1373.276	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1374.175	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1377.481	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1384.685	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1389.793	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1393.998	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1396.701	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1398.399	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1403.005	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1405.407	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
